
=== {'alpha': 1.1, 'attn_drop_path': 0.05, 'clf_dropout': 0.1} ===
Epoch 42 | recon 0.001182 | acc 0.065608 | score 0.018019
Epoch 43 | recon 0.001161 | acc 0.071958 | score 0.016138
Epoch 44 | recon 0.001105 | acc 0.074603 | score 0.014818
Epoch 45 | recon 0.001068 | acc 0.057143 | score 0.018691
Epoch 46 | recon 0.001174 | acc 0.074074 | score 0.015852
Epoch 47 | recon 0.001167 | acc 0.073545 | score 0.015871
Epoch 48 | recon 0.001080 | acc 0.076190 | score 0.014169
Epoch 49 | recon 0.001025 | acc 0.076720 | score 0.013364
Epoch 50 | recon 0.001056 | acc 0.079894 | score 0.013217
→ best score = 0.013217  (epoch 50)

=== {'alpha': 1.1, 'attn_drop_path': 0.1, 'clf_dropout': 0.4} ===
Epoch 01 | recon 0.006528 | acc 0.025926 | score 0.251806
Epoch 02 | recon 0.005099 | acc 0.032804 | score 0.155432
Epoch 03 | recon 0.003983 | acc 0.035450 | score 0.112344
Epoch 04 | recon 0.003624 | acc 0.040212 | score 0.090125
Epoch 05 | recon 0.003164 | acc 0.038095 | score 0.083052
Epoch 06 | recon 0.002810 | acc 0.048677 | score 0.057722
Epoch 07 | recon 0.002694 | acc 0.026984 | score 0.099849
Epoch 08 | recon 0.002825 | acc 0.050265 | score 0.056194
Epoch 09 | recon 0.002084 | acc 0.046032 | score 0.045279
Epoch 10 | recon 0.002067 | acc 0.042857 | score 0.048229
Epoch 11 | recon 0.002997 | acc 0.046561 | score 0.064362
Epoch 12 | recon 0.002018 | acc 0.053439 | score 0.037768
Epoch 13 | recon 0.002082 | acc 0.048148 | score 0.043239
Epoch 14 | recon 0.001770 | acc 0.040212 | score 0.044021
Epoch 15 | recon 0.002116 | acc 0.054497 | score 0.038823
Epoch 16 | recon 0.002006 | acc 0.038095 | score 0.052663
Epoch 17 | recon 0.001777 | acc 0.050265 | score 0.035354
Epoch 18 | recon 0.001840 | acc 0.051323 | score 0.035859
Epoch 19 | recon 0.001901 | acc 0.057143 | score 0.033266
Epoch 20 | recon 0.001661 | acc 0.032804 | score 0.050648
Epoch 21 | recon 0.001596 | acc 0.057143 | score 0.027928
Epoch 22 | recon 0.001505 | acc 0.061376 | score 0.024527
Epoch 23 | recon 0.001717 | acc 0.049206 | score 0.034896
Epoch 24 | recon 0.001461 | acc 0.057672 | score 0.025338
Epoch 25 | recon 0.001404 | acc 0.056614 | score 0.024806
Epoch 26 | recon 0.001420 | acc 0.037037 | score 0.038340
Epoch 27 | recon 0.001372 | acc 0.049206 | score 0.027879
Epoch 28 | recon 0.001300 | acc 0.043386 | score 0.029969
Epoch 29 | recon 0.001358 | acc 0.044974 | score 0.030199
Epoch 30 | recon 0.001290 | acc 0.055026 | score 0.023448
Epoch 31 | recon 0.001221 | acc 0.055026 | score 0.022186
Epoch 32 | recon 0.001218 | acc 0.057672 | score 0.021125
Epoch 33 | recon 0.001318 | acc 0.063492 | score 0.020752
Epoch 34 | recon 0.001223 | acc 0.051323 | score 0.023825
Epoch 35 | recon 0.001238 | acc 0.058730 | score 0.021084
Epoch 36 | recon 0.001190 | acc 0.032804 | score 0.036280
Epoch 37 | recon 0.001223 | acc 0.050794 | score 0.024078
Epoch 38 | recon 0.001139 | acc 0.062434 | score 0.018250
Epoch 39 | recon 0.001212 | acc 0.056085 | score 0.021610
Epoch 40 | recon 0.001105 | acc 0.065079 | score 0.016986
Epoch 41 | recon 0.001050 | acc 0.068783 | score 0.015270
Epoch 42 | recon 0.001106 | acc 0.064550 | score 0.017140
Epoch 43 | recon 0.001086 | acc 0.052381 | score 0.020726
Epoch 44 | recon 0.001118 | acc 0.070899 | score 0.015762
Epoch 45 | recon 0.001141 | acc 0.052381 | score 0.021778
Epoch 46 | recon 0.001093 | acc 0.061905 | score 0.017660
Epoch 47 | recon 0.001032 | acc 0.067725 | score 0.015236
Epoch 48 | recon 0.001002 | acc 0.049735 | score 0.020145
Epoch 49 | recon 0.000983 | acc 0.073016 | score 0.013463
Epoch 50 | recon 0.000974 | acc 0.057672 | score 0.016888
→ best score = 0.013463  (epoch 49)

=== {'alpha': 1.1, 'attn_drop_path': 0.2, 'clf_dropout': 0.1} ===
Epoch 01 | recon 0.035116 | acc 0.029630 | score 1.185181
Epoch 02 | recon 0.014080 | acc 0.029630 | score 0.475211
Epoch 03 | recon 0.003999 | acc 0.032275 | score 0.123906
Epoch 04 | recon 0.003441 | acc 0.041799 | score 0.082315
Epoch 05 | recon 0.003058 | acc 0.038095 | score 0.080275
Epoch 06 | recon 0.002843 | acc 0.047090 | score 0.060369
Epoch 07 | recon 0.002864 | acc 0.052381 | score 0.054679
Epoch 08 | recon 0.002458 | acc 0.050265 | score 0.048909
Epoch 09 | recon 0.002426 | acc 0.052910 | score 0.045848
Epoch 10 | recon 0.002071 | acc 0.052381 | score 0.039537
Epoch 11 | recon 0.002128 | acc 0.049735 | score 0.042788
Epoch 12 | recon 0.002093 | acc 0.032275 | score 0.064856
Epoch 13 | recon 0.001998 | acc 0.052381 | score 0.038145
Epoch 14 | recon 0.001837 | acc 0.054497 | score 0.033711
Epoch 15 | recon 0.001950 | acc 0.054497 | score 0.035780
Epoch 16 | recon 0.001939 | acc 0.051323 | score 0.037774
Epoch 17 | recon 0.001924 | acc 0.058201 | score 0.033058
Epoch 18 | recon 0.001660 | acc 0.057672 | score 0.028778
Epoch 19 | recon 0.001751 | acc 0.057143 | score 0.030649
Epoch 20 | recon 0.002037 | acc 0.059788 | score 0.034077
Epoch 21 | recon 0.001585 | acc 0.058201 | score 0.027241
Epoch 22 | recon 0.001835 | acc 0.059788 | score 0.030698
Epoch 23 | recon 0.001661 | acc 0.055556 | score 0.029893
Epoch 24 | recon 0.001480 | acc 0.070899 | score 0.020873
Epoch 25 | recon 0.001516 | acc 0.068254 | score 0.022215
Epoch 26 | recon 0.001519 | acc 0.059788 | score 0.025406
Epoch 27 | recon 0.001455 | acc 0.067725 | score 0.021487
Epoch 28 | recon 0.001480 | acc 0.065079 | score 0.022739
Epoch 29 | recon 0.001348 | acc 0.068783 | score 0.019591
Epoch 30 | recon 0.001423 | acc 0.022222 | score 0.064027
Epoch 31 | recon 0.001359 | acc 0.073016 | score 0.018612
Epoch 32 | recon 0.001317 | acc 0.071958 | score 0.018305
Epoch 33 | recon 0.001336 | acc 0.073545 | score 0.018159
Epoch 34 | recon 0.001268 | acc 0.055556 | score 0.022827
Epoch 35 | recon 0.001237 | acc 0.059259 | score 0.020879
Epoch 36 | recon 0.001280 | acc 0.071958 | score 0.017792
Epoch 37 | recon 0.001201 | acc 0.029630 | score 0.040522
Epoch 38 | recon 0.001237 | acc 0.072487 | score 0.017059
