[Epoch 305] lr=5.44e-08  val_recon=0.030588  val_cls=4.760307
[Epoch 306] lr=5.44e-08  val_recon=0.030873  val_cls=4.759185
[Epoch 307] lr=5.44e-08  val_recon=0.030884  val_cls=4.763417
[Epoch 308] lr=4.36e-08  val_recon=0.030251  val_cls=4.765334
[Epoch 309] lr=4.36e-08  val_recon=0.030574  val_cls=4.760443
[Epoch 310] lr=4.36e-08  val_recon=0.030546  val_cls=4.761281
[Epoch 311] lr=4.36e-08  val_recon=0.030423  val_cls=4.759763
[Epoch 312] lr=4.36e-08  val_recon=0.031021  val_cls=4.762655
[Epoch 313] lr=4.36e-08  val_recon=0.030483  val_cls=4.758517
[Epoch 314] lr=4.36e-08  val_recon=0.030865  val_cls=4.759758
[Epoch 315] lr=4.36e-08  val_recon=0.030760  val_cls=4.764474
[Epoch 316] lr=4.36e-08  val_recon=0.030640  val_cls=4.759352
[Epoch 317] lr=4.36e-08  val_recon=0.030903  val_cls=4.760818
[Epoch 318] lr=4.36e-08  val_recon=0.030904  val_cls=4.761388
[Epoch 319] lr=4.36e-08  val_recon=0.030393  val_cls=4.760123
[Epoch 320] lr=4.36e-08  val_recon=0.030420  val_cls=4.761228
[Epoch 321] lr=4.36e-08  val_recon=0.030164  val_cls=4.759437
[Epoch 322] lr=4.36e-08  val_recon=0.030438  val_cls=4.757365
[Epoch 323] lr=4.36e-08  val_recon=0.030533  val_cls=4.759279
[Epoch 324] lr=4.36e-08  val_recon=0.031254  val_cls=4.761517
[Epoch 325] lr=4.36e-08  val_recon=0.030890  val_cls=4.761273
[Epoch 326] lr=4.36e-08  val_recon=0.031378  val_cls=4.761657
[Epoch 327] lr=4.36e-08  val_recon=0.031113  val_cls=4.764905
[Epoch 328] lr=4.36e-08  val_recon=0.030353  val_cls=4.757998
[Epoch 329] lr=4.36e-08  val_recon=0.030574  val_cls=4.757812
[Epoch 330] lr=4.36e-08  val_recon=0.030925  val_cls=4.766671
[Epoch 331] lr=4.36e-08  val_recon=0.031032  val_cls=4.762480
[Epoch 332] lr=4.36e-08  val_recon=0.030997  val_cls=4.762007
[Epoch 333] lr=4.36e-08  val_recon=0.030333  val_cls=4.763391
[Epoch 334] lr=4.36e-08  val_recon=0.030742  val_cls=4.760817
[Epoch 335] lr=4.36e-08  val_recon=0.030586  val_cls=4.759397
[Epoch 336] lr=4.36e-08  val_recon=0.030995  val_cls=4.765799
[Epoch 337] lr=4.36e-08  val_recon=0.030749  val_cls=4.759890
[Epoch 338] lr=4.36e-08  val_recon=0.031183  val_cls=4.765758
[Epoch 339] lr=4.36e-08  val_recon=0.030777  val_cls=4.758972
[Epoch 340] lr=4.36e-08  val_recon=0.031012  val_cls=4.758243
[Epoch 341] lr=4.36e-08  val_recon=0.031282  val_cls=4.764309
[Epoch 342] lr=4.36e-08  val_recon=0.030996  val_cls=4.764187
